date,asset_ticker,asset_type,open,high,low,close,volume
2025-07-04,BTC,digital_currency,109628.83000000,109664.46000000,109487.93000000,109561.47000000,59.39727762
2025-07-03,BTC,digital_currency,108887.03000000,110590.00000000,108574.31000000,109628.83000000,6357.90938866
2025-07-02,BTC,digital_currency,105711.77000000,109823.08000000,105119.70000000,108888.32000000,7995.70934955
2025-07-01,BTC,digital_currency,107173.21000000,107579.30000000,105262.00000000,105711.78000000,5152.71280913
2025-06-30,BTC,digital_currency,108386.44000000,108800.00000000,106724.76000000,107173.21000000,4838.91059185
2025-06-29,BTC,digital_currency,107352.20000000,108550.00000000,107230.00000000,108386.44000000,2154.86170312
2025-06-28,BTC,digital_currency,107119.17000000,107599.81000000,106868.94000000,107352.20000000,1227.76803255
2025-06-27,BTC,digital_currency,107029.63000000,107804.20000000,106413.79000000,107113.38000000,6310.43492604
2025-06-26,BTC,digital_currency,107400.22000000,108345.00000000,106605.88000000,107029.64000000,4898.17609801
2025-06-25,BTC,digital_currency,106141.01000000,108206.00000000,105875.00000000,107400.22000000,7070.25049785
2025-06-24,BTC,digital_currency,105418.40000000,106366.29000000,104681.83000000,106141.00000000,5773.17199592
2025-06-23,BTC,digital_currency,100996.87000000,106135.47000000,99677.07000000,105419.39000000,8904.62439212
2025-06-22,BTC,digital_currency,102160.36000000,103417.00000000,98225.01000000,100996.87000000,7872.25874446
2025-06-21,BTC,digital_currency,103317.79000000,104013.64000000,100919.19000000,102160.03000000,3287.51327489
2025-06-20,BTC,digital_currency,104671.40000000,106553.86000000,102357.25000000,103317.80000000,5047.43787480
2025-06-19,BTC,digital_currency,104915.60000000,105266.61000000,103916.37000000,104671.90000000,2276.96928472
2025-06-18,BTC,digital_currency,104590.44000000,105603.63000000,103512.38000000,104915.60000000,4918.14382744
2025-06-17,BTC,digital_currency,106853.38000000,107792.90000000,103363.30000000,104590.44000000,7688.11861976
2025-06-16,BTC,digital_currency,105600.21000000,109000.00000000,104982.26000000,106853.38000000,5952.78379577
2025-06-15,BTC,digital_currency,105465.42000000,106184.13000000,104505.05000000,105599.25000000,1722.80945227
2025-06-14,BTC,digital_currency,106114.53000000,106264.36000000,104351.72000000,105465.42000000,2256.48458127
2025-06-13,BTC,digital_currency,105716.45000000,106233.00000000,102746.01000000,106118.70000000,7440.85014327
2025-06-12,BTC,digital_currency,108673.77000000,108853.74000000,105706.78000000,105721.05000000,5733.99212646
2025-06-11,BTC,digital_currency,110300.25000000,110435.05000000,108091.74000000,108669.37000000,4603.33244460
2025-06-10,BTC,digital_currency,110299.69000000,110420.08000000,108362.14000000,110300.24000000,5433.45970171
2025-06-09,BTC,digital_currency,105784.41000000,110651.12000000,105368.27000000,110301.15000000,6581.17607855
2025-06-08,BTC,digital_currency,105619.02000000,106548.90000000,105028.30000000,105784.40000000,1998.61011035
2025-06-07,BTC,digital_currency,104398.00000000,106000.00000000,103969.70000000,105619.02000000,4141.10124271
2025-06-06,BTC,digital_currency,101570.20000000,105439.01000000,101132.91000000,104397.99000000,9674.99998609
2025-06-05,BTC,digital_currency,104753.37000000,105999.68000000,100345.73000000,101570.20000000,10615.73387107
2025-06-04,BTC,digital_currency,105443.95000000,106058.47000000,104202.00000000,104753.38000000,4505.03599201
2025-06-03,BTC,digital_currency,105909.79000000,106901.68000000,104910.01000000,105447.82000000,6486.45977780
2025-06-02,BTC,digital_currency,105697.93000000,106000.00000000,103685.23000000,105904.94000000,5818.58522452
2025-06-01,BTC,digital_currency,104645.87000000,105937.46000000,103800.81000000,105697.94000000,2369.92891564
2025-05-31,BTC,digital_currency,104033.00000000,104965.50000000,103110.01000000,104645.87000000,2403.60824408
2025-05-30,BTC,digital_currency,105572.58000000,106377.66000000,103634.48000000,104033.26000000,7866.16241154
2025-05-29,BTC,digital_currency,107819.26000000,108943.35000000,105315.00000000,105572.58000000,9298.23507793
2025-05-28,BTC,digital_currency,108978.45000000,109344.89000000,106790.16000000,107819.29000000,6472.90543401
2025-05-27,BTC,digital_currency,109464.33000000,110829.42000000,107536.41000000,108978.46000000,8827.06474254
2025-05-26,BTC,digital_currency,109048.41000000,110474.41000000,108706.04000000,109464.32000000,4641.37953944
2025-05-25,BTC,digital_currency,107794.01000000,109371.04000000,106632.35000000,109048.68000000,2996.99842740
2025-05-24,BTC,digital_currency,107332.08000000,109517.79000000,106895.77000000,107794.01000000,2611.35605460
2025-05-23,BTC,digital_currency,111722.54000000,111824.07000000,106800.01000000,107329.61000000,9638.23489571
2025-05-22,BTC,digital_currency,109697.19000000,112000.00000000,109217.23000000,111722.53000000,11250.38756124
2025-05-21,BTC,digital_currency,106883.24000000,110788.98000000,106128.14000000,109699.54000000,18333.91491262
2025-05-20,BTC,digital_currency,105616.21000000,107355.00000000,104209.18000000,106883.24000000,8804.35789335
2025-05-19,BTC,digital_currency,106488.77000000,107137.68000000,102105.00000000,105616.18000000,10104.32339011
2025-05-18,BTC,digital_currency,103162.53000000,106692.97000000,103130.95000000,106473.46000000,4130.60889099
2025-05-17,BTC,digital_currency,103500.03000000,103741.98000000,102612.00000000,103161.07000000,1848.95251021
2025-05-16,BTC,digital_currency,103786.40000000,104616.71000000,103125.51000000,103500.03000000,6881.58784289
2025-05-15,BTC,digital_currency,103540.91000000,104200.00000000,101400.01000000,103786.43000000,7563.00946962
2025-05-14,BTC,digital_currency,104131.20000000,104373.00000000,102603.27000000,103545.38000000,7628.28115726
2025-05-13,BTC,digital_currency,102800.22000000,105038.53000000,101447.78000000,104131.06000000,8727.62104466
2025-05-12,BTC,digital_currency,104137.58000000,105787.37000000,100703.71000000,102800.21000000,11005.25730989
2025-05-11,BTC,digital_currency,104817.83000000,104980.89000000,103360.22000000,104137.62000000,3055.11580217
2025-05-10,BTC,digital_currency,102986.94000000,104997.00000000,102831.41000000,104821.19000000,3104.17143581
2025-05-09,BTC,digital_currency,103252.20000000,104352.60000000,102330.76000000,102986.96000000,7318.16790891
2025-05-08,BTC,digital_currency,97058.33000000,104176.05000000,96888.25000000,103253.49000000,15378.08513550
2025-05-07,BTC,digital_currency,96843.84000000,97738.05000000,95800.00000000,97058.32000000,8326.90882779
2025-05-06,BTC,digital_currency,94733.99000000,96916.25000000,93363.28000000,96839.17000000,6163.86755769
2025-05-05,BTC,digital_currency,94272.54000000,95218.82000000,93500.01000000,94733.99000000,5180.15893934
2025-05-04,BTC,digital_currency,95865.47000000,96312.51000000,94151.67000000,94272.55000000,2834.39686495
2025-05-03,BTC,digital_currency,96929.81000000,96974.78000000,95765.13000000,95861.33000000,2077.55675998
2025-05-02,BTC,digital_currency,96524.98000000,97948.56000000,96369.69000000,96929.81000000,5709.61012071
2025-05-01,BTC,digital_currency,94182.55000000,97546.99000000,94136.79000000,96524.98000000,8333.27177503
2025-04-30,BTC,digital_currency,94271.08000000,95263.74000000,92911.88000000,94182.54000000,6511.24661593
2025-04-29,BTC,digital_currency,95042.56000000,95499.00000000,93761.26000000,94271.09000000,5979.42521239
2025-04-28,BTC,digital_currency,93780.56000000,95652.66000000,92829.44000000,95042.57000000,7347.77103346
2025-04-27,BTC,digital_currency,94666.64000000,95351.11000000,93654.77000000,93780.57000000,2304.93789541
2025-04-26,BTC,digital_currency,94707.79000000,95273.52000000,93903.01000000,94666.64000000,2253.98942317
2025-04-25,BTC,digital_currency,94021.97000000,95976.34000000,92880.01000000,94708.79000000,14147.35380158
2025-04-24,BTC,digital_currency,93740.93000000,94061.02000000,91685.18000000,94021.96000000,9318.65682559
2025-04-23,BTC,digital_currency,93486.57000000,94686.00000000,91902.19000000,93740.92000000,12538.03891773
2025-04-22,BTC,digital_currency,87513.53000000,93952.62000000,87077.17000000,93489.10000000,19460.09432868
2025-04-21,BTC,digital_currency,85177.33000000,88575.62000000,85135.98000000,87522.07000000,12581.69779747
2025-04-20,BTC,digital_currency,85074.59000000,85319.21000000,83972.82000000,85177.34000000,1812.14325365
2025-04-19,BTC,digital_currency,84466.47000000,85625.00000000,84353.45000000,85074.99000000,1683.18995187
2025-04-18,BTC,digital_currency,84961.97000000,85150.94000000,84287.06000000,84466.47000000,1884.03911217
2025-04-17,BTC,digital_currency,84028.71000000,85494.94000000,83711.69000000,84961.97000000,5862.46405539
2025-04-16,BTC,digital_currency,83622.52000000,85526.40000000,83088.02000000,84028.72000000,8243.05901273
2025-04-15,BTC,digital_currency,84590.36000000,86491.40000000,83592.77000000,83629.78000000,6460.94144192
2025-04-14,BTC,digital_currency,83733.07000000,85818.06000000,83655.27000000,84590.36000000,7247.02343319
2025-04-13,BTC,digital_currency,85271.02000000,86092.99000000,83010.00000000,83733.07000000,3904.15929557
2025-04-12,BTC,digital_currency,83379.64000000,85909.97000000,82765.26000000,85271.01000000,3972.49282052
2025-04-11,BTC,digital_currency,79552.34000000,84299.00000000,78919.94000000,83380.47000000,9964.68703141
2025-04-10,BTC,digital_currency,82593.15000000,82730.93000000,78387.24000000,79552.34000000,11876.12778689
2025-04-09,BTC,digital_currency,76258.80000000,83583.35000000,74553.01000000,82594.75000000,23584.94464084
2025-04-08,BTC,digital_currency,79140.02000000,80849.98000000,76167.35000000,76251.64000000,14917.02351692
2025-04-07,BTC,digital_currency,78370.15000000,81223.67000000,74420.69000000,79140.01000000,26706.52930797
2025-04-06,BTC,digital_currency,83505.88000000,83773.58000000,77058.99000000,78370.75000000,11014.85947730
2025-04-05,BTC,digital_currency,83859.78000000,84238.35000000,82346.61000000,83498.25000000,2836.42920662
2025-04-04,BTC,digital_currency,83178.68000000,84720.67000000,81643.54000000,83860.16000000,14593.03092888
2025-04-03,BTC,digital_currency,82490.10000000,83953.45000000,81177.70000000,83174.33000000,11800.91106566
2025-04-02,BTC,digital_currency,85166.92000000,88530.00000000,82283.01000000,82490.08000000,16748.28262337
2025-04-01,BTC,digital_currency,82534.31000000,85566.53000000,82403.32000000,85170.37000000,9130.97692565
2025-03-31,BTC,digital_currency,82379.98000000,83920.80000000,81265.16000000,82534.32000000,6887.94694226
2025-03-30,BTC,digital_currency,82624.06000000,83508.98000000,81538.88000000,82379.98000000,2472.72302228
2025-03-29,BTC,digital_currency,84381.81000000,84584.13000000,81608.99000000,82616.83000000,3194.24303663
2025-03-28,BTC,digital_currency,87214.07000000,87498.15000000,83533.40000000,84381.80000000,10031.80008987
2025-03-27,BTC,digital_currency,87429.61000000,87474.54000000,87108.87000000,87217.48000000,261.49922823
2025-03-26,BTC,digital_currency,87432.82000000,88304.10000000,85850.00000000,86926.01000000,6885.71986041
2025-03-25,BTC,digital_currency,87518.09000000,88584.34000000,86321.97000000,87427.88000000,10153.98312373
2025-03-24,BTC,digital_currency,86092.95000000,88804.64000000,85533.06000000,87523.62000000,13107.50391644
2025-03-23,BTC,digital_currency,83852.06000000,86128.99000000,83804.67000000,86092.94000000,3467.46945277
2025-03-22,BTC,digital_currency,84061.96000000,84517.75000000,83659.69000000,83852.03000000,2108.51345069
2025-03-21,BTC,digital_currency,84183.41000000,84809.72000000,83100.00000000,84061.96000000,6257.63558757
2025-03-20,BTC,digital_currency,86877.97000000,87492.87000000,83596.75000000,84183.42000000,9880.31696275
2025-03-19,BTC,digital_currency,82699.53000000,87045.45000000,82535.53000000,86877.96000000,13053.65803714
2025-03-18,BTC,digital_currency,84011.39000000,84029.67000000,81125.00000000,82698.76000000,7316.63296603
2025-03-17,BTC,digital_currency,82562.50000000,84758.46000000,82416.98000000,84011.40000000,7785.97733364
2025-03-16,BTC,digital_currency,84351.45000000,85092.35000000,81969.44000000,82562.57000000,4059.89765099
2025-03-15,BTC,digital_currency,83989.86000000,84690.43000000,83612.24000000,84351.46000000,2331.92028578
2025-03-14,BTC,digital_currency,81071.50000000,85318.61000000,80771.17000000,83980.49000000,10857.45703924
2025-03-13,BTC,digital_currency,83659.45000000,84310.80000000,79890.00000000,81073.43000000,10504.15100874
2025-03-12,BTC,digital_currency,82911.81000000,84442.69000000,80572.21000000,83659.43000000,12612.03125479
2025-03-11,BTC,digital_currency,78548.18000000,83600.00000000,76555.00000000,82914.51000000,17096.37980265
2025-03-10,BTC,digital_currency,80708.21000000,84033.66000000,77389.00000000,78544.71000000,21375.10120997
2025-03-09,BTC,digital_currency,86206.64000000,86480.00000000,80000.00000000,80699.17000000,7565.44749561
2025-03-08,BTC,digital_currency,86753.30000000,86863.38000000,85200.00000000,86206.69000000,3023.24786650
2025-03-07,BTC,digital_currency,89915.02000000,91280.00000000,84608.27000000,86756.98000000,27137.20223020
2025-03-06,BTC,digital_currency,90607.73000000,92817.29000000,87790.50000000,89921.85000000,13302.87500105
2025-03-05,BTC,digital_currency,87247.93000000,91000.00000000,86329.22000000,90603.73000000,14900.93396554
2025-03-04,BTC,digital_currency,86161.09000000,88977.27000000,81444.00000000,87249.96000000,23130.37098654
2025-03-03,BTC,digital_currency,94265.47000000,94415.61000000,85007.01000000,86161.10000000,22691.67068614
2025-03-02,BTC,digital_currency,86018.82000000,95128.88000000,85003.35000000,94265.48000000,16751.22972996
2025-03-01,BTC,digital_currency,84297.74000000,86534.96000000,83772.54000000,86018.76000000,6852.54412620
2025-02-28,BTC,digital_currency,84627.50000000,85116.19000000,78167.81000000,84297.73000000,30755.74245077
2025-02-27,BTC,digital_currency,84111.77000000,86993.87000000,82554.11000000,84625.19000000,16836.55524727
2025-02-26,BTC,digital_currency,88583.17000000,89305.68000000,82111.12000000,84111.78000000,21568.55463119
2025-02-25,BTC,digital_currency,91509.88000000,92549.99000000,85836.18000000,88583.74000000,31587.91715546
2025-02-24,BTC,digital_currency,96266.23000000,96515.41000000,91300.00000000,91510.82000000,12644.04350070
2025-02-23,BTC,digital_currency,96578.49000000,96679.93000000,95243.91000000,96265.98000000,3787.84705335
2025-02-22,BTC,digital_currency,96157.03000000,96982.52000000,95767.95000000,96582.12000000,7324.02366243
2025-02-21,BTC,digital_currency,98347.20000000,99517.52000000,94721.92000000,96157.03000000,19298.23921958
2025-02-20,BTC,digital_currency,96632.03000000,98768.54000000,96419.07000000,98347.20000000,10582.84622768
2025-02-19,BTC,digital_currency,95612.97000000,96880.00000000,95000.01000000,96632.03000000,6945.44897339
2025-02-18,BTC,digital_currency,95781.80000000,96730.00000000,93333.00000000,95607.40000000,8867.39878431
2025-02-17,BTC,digital_currency,96119.88000000,97050.64000000,95200.00000000,95781.80000000,3533.01273263
2025-02-16,BTC,digital_currency,97596.54000000,97738.22000000,96057.68000000,96119.88000000,2174.29326885
2025-02-15,BTC,digital_currency,97507.94000000,97997.85000000,97225.01000000,97596.94000000,1626.51929078
2025-02-14,BTC,digital_currency,96625.29000000,98890.11000000,96268.56000000,97509.03000000,7744.67640105
2025-02-13,BTC,digital_currency,97864.28000000,98100.00000000,95220.00000000,96625.29000000,6803.60789270
2025-02-12,BTC,digital_currency,95770.95000000,98119.98000000,94066.92000000,97862.53000000,9078.50356189
2025-02-11,BTC,digital_currency,97451.66000000,98500.00000000,94831.07000000,95774.08000000,7737.05105717
2025-02-10,BTC,digital_currency,96481.47000000,98367.23000000,95257.20000000,97444.41000000,6375.72539123
2025-02-09,BTC,digital_currency,96476.24000000,97342.28000000,94730.67000000,96475.82000000,3417.87009701
2025-02-08,BTC,digital_currency,96536.93000000,96919.05000000,95682.33000000,96476.25000000,2972.45715184
2025-02-07,BTC,digital_currency,96575.24000000,100235.79000000,95614.96000000,96537.08000000,12171.82534167
2025-02-06,BTC,digital_currency,96635.62000000,99182.15000000,95674.96000000,96564.62000000,9168.94674634
2025-02-05,BTC,digital_currency,97795.06000000,99230.49000000,96161.01000000,96638.33000000,9308.59185883
2025-02-04,BTC,digital_currency,101460.15000000,101812.23000000,96145.76000000,97795.05000000,14168.70316610
2025-02-03,BTC,digital_currency,97676.53000000,102599.85000000,91178.01000000,101460.20000000,31328.72219576
2025-02-02,BTC,digital_currency,100623.88000000,101459.84000000,96179.00000000,97676.52000000,10366.65062753
2025-02-01,BTC,digital_currency,102414.05000000,102781.65000000,100250.00000000,100623.85000000,3390.25555744
2025-01-31,BTC,digital_currency,104742.63000000,106090.00000000,101506.00000000,102411.26000000,13313.68104489
2025-01-30,BTC,digital_currency,103747.25000000,106484.77000000,103289.74000000,104742.64000000,13061.34881233
2025-01-29,BTC,digital_currency,101290.01000000,104829.64000000,101275.60000000,103747.25000000,11401.29813651
2025-01-28,BTC,digital_currency,102063.92000000,103770.85000000,100213.80000000,101290.00000000,9485.46858120
2025-01-27,BTC,digital_currency,102565.28000000,103228.46000000,97715.03000000,102062.42000000,23646.33771582
2025-01-26,BTC,digital_currency,104729.92000000,105478.80000000,102452.24000000,102563.00000000,4575.36611531
2025-01-25,BTC,digital_currency,104866.13000000,105294.00000000,104104.00000000,104733.56000000,3404.85308291
2025-01-24,BTC,digital_currency,103926.36000000,107200.00000000,102751.92000000,104850.27000000,12921.99361413
2025-01-23,BTC,digital_currency,103659.60000000,106870.87000000,101200.01000000,103926.36000000,25064.86499945
2025-01-22,BTC,digital_currency,106159.27000000,106431.34000000,103100.00000000,103667.11000000,10730.01896200
2025-01-21,BTC,digital_currency,102145.42000000,107291.10000000,100051.00000000,106159.26000000,19411.23488978
2025-01-20,BTC,digital_currency,101217.78000000,109358.01000000,99416.27000000,102145.43000000,32342.18311338
2025-01-19,BTC,digital_currency,104435.01000000,106314.44000000,99518.00000000,101211.13000000,13312.63685598
2025-01-18,BTC,digital_currency,104107.00000000,104933.15000000,102233.45000000,104435.00000000,7835.29944710
2025-01-17,BTC,digital_currency,99981.46000000,105970.00000000,99937.81000000,104107.00000000,20518.30949325
2025-01-16,BTC,digital_currency,100504.27000000,100880.00000000,97277.58000000,99981.78000000,12312.37366854
2025-01-15,BTC,digital_currency,96534.97000000,100716.45000000,96400.00000000,100510.23000000,13600.98371987
2025-01-14,BTC,digital_currency,94507.35000000,97353.29000000,94311.36000000,96534.96000000,11210.73131611
2025-01-13,BTC,digital_currency,94507.24000000,95900.00000000,89028.64000000,94506.45000000,13094.86359481
